Juego;Sesion;id_usuario;num_periodo;id_tipo;id_grupo;punto_ideal;se_postula;num_votos; num_votos2;balance_ini;balance
A;1;10;12;R;266;30;1;51;0;228;248
A;1;10;13;R;274;70;1;51;0;248;268
A;1;10;14;R;279;70;1;50;0;268;259
A;1;10;15;R;291;70;1;50;0;259;250
A;1;10;16;R;297;30;1;41;0;250;243
A;1;10;17;R;305;30;1;55;0;243;263
A;1;10;18;R;307;80;1;35;0;263;253
A;1;10;19;R;314;30;1;41;0;253;273
A;1;10;20;R;321;50;1;61;0;273;293
A;1;10;21;R;333;30;1;40;0;293;313
A;1;10;22;R;335;30;1;41;0;313;306
A;1;10;23;R;343;50;1;25;0;306;299
A;1;10;24;R;352;50;1;60;0;299;319
A;1;10;25;R;357;50;1;25;0;319;312
A;1;10;26;R;365;80;1;35;0;312;302
A;1;10;27;R;371;80;1;45;0;302;292
A;1;10;28;R;379;80;1;36;0;292;282
A;1;10;29;R;384;30;1;40;0;282;275
A;1;10;30;R;393;80;1;35;0;275;265
A;1;11;1;P;171;50;1;19;0;140;133
A;1;11;2;P;177;70;1;40;0;133;124
A;1;11;3;P;183;70;1;50;0;124;115
A;1;11;1;R;193;30;1;51;0;140;160
A;1;11;2;R;195;70;0;0;0;160;158
A;1;11;3;R;204;70;1;50;0;158;149
A;1;11;4;R;212;50;0;0;0;149;147
A;1;11;5;R;220;30;1;41;0;147;167
A;1;11;6;R;228;30;1;50;0;167;158
A;1;11;7;R;233;50;1;20;0;158;151
A;1;11;8;R;238;30;1;50;0;151;142
A;1;11;9;R;245;30;1;41;0;142;135
A;1;11;10;R;255;30;1;51;0;135;155
A;1;11;11;R;262;30;1;50;0;155;146
A;1;11;12;R;265;30;1;51;0;146;166
A;1;11;13;R;275;30;1;50;0;166;157
A;1;11;14;R;283;30;1;50;0;157;148
A;1;11;15;R;286;50;1;61;0;148;168
A;1;11;16;R;293;50;0;0;0;168;166
A;1;11;17;R;301;80;1;36;0;166;156
A;1;11;18;R;310;80;1;35;0;156;146
A;1;11;19;R;318;50;1;25;0;146;139
A;1;11;20;R;323;30;1;41;0;139;132
A;1;11;21;R;330;80;1;36;0;132;122
A;1;11;22;R;336;50;1;61;0;122;142
A;1;11;23;R;346;30;1;40;0;142;162
A;1;11;24;R;350;80;1;36;0;162;152
A;1;11;25;R;360;50;1;101;0;152;172
A;1;11;26;R;364;30;1;41;0;172;165
A;1;11;27;R;374;50;1;26;0;165;158
A;1;11;28;R;381;50;1;25;0;158;151
A;1;11;29;R;385;30;1;40;0;151;144
A;1;11;30;R;393;50;1;25;0;144;137
A;1;12;1;P;167;30;1;40;0;140;133
A;1;12;2;P;174;70;1;41;0;133;153
A;1;12;3;P;182;50;1;19;0;153;146
A;1;12;1;R;192;30;1;40;0;140;160
A;1;12;2;R;198;70;1;50;0;160;151
